,results
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '492D3789A54400BCE0530A83942773D9', 'geometry': {'points': [[609031.9987799284, 266159.99867217697]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609031.9987799284, 266159.99867217697, 609031.9987799284, 266159.99867217697], 'attributes': {'accidentday_fr': 'dimanche / 13h-14h / février 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 13h-14h / Februar 2017', 'accidentday_it': 'Domenica / 13h-14h / Febbraio 2017', 'accidentyear': 2017, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '492D3789A54400BCE0530A83942773D9'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '4A5E3074A3220026E0530A839427C3AD', 'geometry': {'points': [[609554.9986810965, 266265.99961783265]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609554.9986810965, 266265.99961783265, 609554.9986810965, 266265.99961783265], 'attributes': {'accidentday_fr': 'mardi / 08h-09h / janvier 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 08h-09h / Januar 2017', 'accidentday_it': 'Martedì / 08h-09h / Gennaio 2017', 'accidentyear': 2017, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '4A5E3074A3220026E0530A839427C3AD'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3FD8F5610E530138E0530A839427C6DE', 'geometry': {'points': [[609505.9985010197, 266231.9994977821]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609505.9985010197, 266231.9994977821, 609505.9985010197, 266231.9994977821], 'attributes': {'accidentday_fr': 'jeudi / 07h-08h / juin 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 07h-08h / Juni 2016', 'accidentday_it': 'Giovedì / 07h-08h / Giugno 2016', 'accidentyear': 2016, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3FD8F5610E530138E0530A839427C6DE'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '16837345B6B101FEE0530A839427474D', 'geometry': {'points': [[609481.9986739823, 266251.9995007339]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609481.9986739823, 266251.9995007339, 609481.9986739823, 266251.9995007339], 'attributes': {'accidentday_fr': 'dimanche / 20h-21h / avril 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 20h-21h / April 2015', 'accidentday_it': 'Domenica / 20h-21h / Aprile 2015', 'accidentyear': 2015, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '16837345B6B101FEE0530A839427474D'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '0708FFC092640132E0530A8394271582', 'geometry': {'points': [[609515.9987438644, 266267.9995717301]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609515.9987438644, 266267.9995717301, 609515.9987438644, 266267.9995717301], 'attributes': {'accidentday_fr': 'vendredi / 16h-17h / octobre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 16h-17h / Oktober 2014', 'accidentday_it': 'Venerdì / 16h-17h / Ottobre 2014', 'accidentyear': 2014, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '0708FFC092640132E0530A8394271582'}"
6,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '0586921E9017000EE0530A83942733D7', 'geometry': {'points': [[609310.9985679646, 266199.99916964053]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609310.9985679646, 266199.99916964053, 609310.9985679646, 266199.99916964053], 'attributes': {'accidentday_fr': 'vendredi / 16h-17h / septembre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 16h-17h / September 2014', 'accidentday_it': 'Venerdì / 16h-17h / Settembre 2014', 'accidentyear': 2014, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '0586921E9017000EE0530A83942733D7'}"
7,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '0184951066F6010EE0530A8394272CEB', 'geometry': {'points': [[609421.9990751202, 265922.99936006125]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609421.9990751202, 265922.99936006125, 609421.9990751202, 265922.99936006125], 'attributes': {'accidentday_fr': 'lundi / 15h-16h / juillet 2014', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Montag / 15h-16h / Juli 2014', 'accidentday_it': 'Lunedí / 15h-16h / Luglio 2014', 'accidentyear': 2014, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2765', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '0184951066F6010EE0530A8394272CEB'}"
8,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'CF75A707771D0120E0430A839427B49B', 'geometry': {'points': [[609351.9985321191, 266203.9992351827]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609351.9985321191, 266203.9992351827, 609351.9985321191, 266203.9992351827], 'attributes': {'accidentday_fr': 'vendredi / 18h-19h / novembre 2012', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Freitag / 18h-19h / November 2012', 'accidentday_it': 'Venerdì / 18h-19h / Novembre 2012', 'accidentyear': 2012, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'CF75A707771D0120E0430A839427B49B'}"
9,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'B27A33647D38010AE0430A839427010A', 'geometry': {'points': [[609421.9990819163, 265920.9993607368]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609421.9990819163, 265920.9993607368, 609421.9990819163, 265920.9993607368], 'attributes': {'accidentday_fr': 'mercredi / 08h-09h / septembre 2011', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 08h-09h / September 2011', 'accidentday_it': 'Mercoledì / 08h-09h / Settembre 2011', 'accidentyear': 2011, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2765', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'B27A33647D38010AE0430A839427010A'}"
10,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'AE9F54DB0E1D0192E0430A8394270192', 'geometry': {'points': [[609458.9986208397, 266041.9993907845]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609458.9986208397, 266041.9993907845, 609458.9986208397, 266041.9993907845], 'attributes': {'accidentday_fr': 'mardi / 20h-21h / septembre 2011', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 20h-21h / September 2011', 'accidentday_it': 'Martedì / 20h-21h / Settembre 2011', 'accidentyear': 2011, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2765', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'AE9F54DB0E1D0192E0430A8394270192'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3796AA6A74DA02C2E0530A8394276C5C', 'geometry': {'points': [[609554.0000822272, 266897.00022522797]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609554.0000822272, 266897.00022522797, 609554.0000822272, 266897.00022522797], 'attributes': {'accidentday_fr': 'samedi / 14h-15h / juillet 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Samstag / 14h-15h / Juli 2016', 'accidentday_it': 'Sabato / 14h-15h / Luglio 2016', 'accidentyear': 2016, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3796AA6A74DA02C2E0530A8394276C5C'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '376E2B13A8420178E0530A83942727E7', 'geometry': {'points': [[609580.9999873213, 266565.00002722087]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609580.9999873213, 266565.00002722087, 609580.9999873213, 266565.00002722087], 'attributes': {'accidentday_fr': 'mercredi / 20h-21h / juin 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 20h-21h / Juni 2016', 'accidentday_it': 'Mercoledì / 20h-21h / Giugno 2016', 'accidentyear': 2016, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '376E2B13A8420178E0530A83942727E7'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'D356F6791F81014AE0430A8394275E11', 'geometry': {'points': [[609042.0004541434, 266857.9990154628]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609042.0004541434, 266857.9990154628, 609042.0004541434, 266857.9990154628], 'attributes': {'accidentday_fr': 'jeudi / 09h-10h / décembre 2012', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 09h-10h / Dezember 2012', 'accidentday_it': 'Giovedì / 09h-10h / Dicembre 2012', 'accidentyear': 2012, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'D356F6791F81014AE0430A8394275E11'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'A2703F29D9DF4082E0430A865E334082', 'geometry': {'points': [[609531.9999951719, 266557.99994941684]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609531.9999951719, 266557.99994941684, 609531.9999951719, 266557.99994941684], 'attributes': {'accidentday_fr': 'lundi / 12h-13h / mars 2011', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 12h-13h / März 2011', 'accidentday_it': 'Lunedí / 12h-13h / Marzo 2011', 'accidentyear': 2011, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'A2703F29D9DF4082E0430A865E334082'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '585F8537438300CEE0530A8394274119', 'geometry': {'points': [[609163.0010588919, 267540.0029889259]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609163.0010588919, 267540.0029889259, 609163.0010588919, 267540.0029889259], 'attributes': {'accidentday_fr': 'mardi / 18h-19h / juillet 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 18h-19h / Juli 2017', 'accidentday_it': 'Martedì / 18h-19h / Luglio 2017', 'accidentyear': 2017, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '585F8537438300CEE0530A8394274119'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '39B1219D9FC5015EE0530A839427E45A', 'geometry': {'points': [[609527.0002046465, 267204.0003410622]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609527.0002046465, 267204.0003410622, 609527.0002046465, 267204.0003410622], 'attributes': {'accidentday_fr': 'vendredi / 15h-16h / juillet 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Freitag / 15h-16h / Juli 2016', 'accidentday_it': 'Venerdì / 15h-16h / Luglio 2016', 'accidentyear': 2016, 'label': 'Auffahrunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 2, 'accidenttype_fr': 'accident par tamponnement', 'accidenttype_de': 'Auffahrunfall', 'accidenttype_it': 'Incidente di tamponamento', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '39B1219D9FC5015EE0530A839427E45A'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '0617DEDFB76801F2E0530A8394270C8B', 'geometry': {'points': [[609083.0005831034, 267400.99988222227]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609083.0005831034, 267400.99988222227, 609083.0005831034, 267400.99988222227], 'attributes': {'accidentday_fr': 'vendredi / 17h-18h / octobre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 17h-18h / Oktober 2014', 'accidentday_it': 'Venerdì / 17h-18h / Ottobre 2014', 'accidentyear': 2014, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2762', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '0617DEDFB76801F2E0530A8394270C8B'}"
